City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
117,Cherskiy,RU,68.75,161.3,24.98,72,100,11.68,overcast clouds
118,Qaanaaq,GL,77.484,-69.3632,25.99,94,100,7.14,overcast clouds
119,Salinas,US,36.6777,-121.6555,75.52,69,1,9.22,clear sky
120,Omboue,GA,-1.5746,9.2618,74.97,89,100,4.52,overcast clouds
121,Byron Bay,AU,-28.65,153.6167,80.71,43,56,6.62,broken clouds
122,Torbay,CA,47.6666,-52.7314,56.75,99,90,4.61,light intensity drizzle
123,Caravelas,BR,-17.7125,-39.2481,74.59,82,0,9.66,clear sky
124,Nanlong,CN,31.3533,106.0631,81.55,63,54,4.54,broken clouds
125,Bagotville,AU,-28.9833,153.4167,80.62,39,52,10.42,broken clouds
126,Saint-Pierre,RE,-21.3393,55.4781,71.29,61,0,8.05,clear sky
127,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.57,93,99,9.15,overcast clouds
128,Cockburn Town,TC,21.4612,-71.1419,82.54,74,90,15.66,overcast clouds
129,Chuy,UY,-33.6971,-53.4616,50.65,85,0,6.82,clear sky
130,Fengrun,CN,39.8333,118.1167,67.75,65,94,5.84,overcast clouds
131,Saint George,US,37.1041,-113.5841,75.79,24,1,1.01,clear sky
132,Raub,MY,3.7899,101.857,76.06,89,100,0.4,overcast clouds
133,Hamilton,US,39.1834,-84.5333,64.4,79,1,0.0,clear sky
134,Komsomolskiy,UZ,40.4272,71.7189,57.92,35,82,4.61,broken clouds
135,Bhainsdehi,IN,21.6467,77.6325,76.28,82,100,2.73,moderate rain
136,Airai,TL,-8.9266,125.4092,81.43,34,100,2.44,overcast clouds
137,Devils Lake,US,48.1128,-98.8651,55.94,93,1,4.61,fog
138,Pevek,RU,69.7008,170.3133,23.63,71,23,8.99,few clouds
139,Azangaro,PE,-14.9167,-70.2167,43.92,78,30,4.92,scattered clouds
140,Bredasdorp,ZA,-34.5322,20.0403,54.28,91,32,10.0,moderate rain
141,White Rock,CA,49.0164,-122.8026,55.6,90,100,0.0,overcast clouds
142,Dalianwan,CN,39.0286,121.695,69.84,56,0,8.95,light rain
143,Shahr-E Kord,IR,32.3256,50.8644,42.57,39,0,0.0,clear sky
144,Bethel,US,41.3712,-73.414,53.67,89,1,3.44,clear sky
145,Barrow,US,71.2906,-156.7887,30.22,80,90,18.41,light snow
146,Clyde River,CA,70.4692,-68.5914,32.58,82,34,3.51,scattered clouds
147,Mwinilunga,ZM,-11.7358,24.4293,62.62,84,50,5.19,scattered clouds
148,Bambous Virieux,MU,-20.3428,57.7575,74.21,73,75,12.66,broken clouds
149,Rundu,NA,-17.9333,19.7667,63.34,24,9,0.96,clear sky
150,Tuktoyaktuk,CA,69.4541,-133.0374,35.6,93,90,9.22,light snow
151,Povolzhskiy,RU,53.5854,49.7629,47.82,94,61,4.63,broken clouds
152,Bubaque,GW,11.2833,-15.8333,82.42,77,46,5.7,scattered clouds
153,Pangai,TO,-19.8,-174.35,78.91,69,75,19.57,light rain
