City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
35,Arraial Do Cabo,BR,2021-10-01 13:29:18,-22.9661,-42.0278,76.96,78,40,20.71
36,Bethel,US,2021-10-01 13:30:40,41.3712,-73.414,58.93,83,1,0.0
37,Ribeira Grande,PT,2021-10-01 13:30:41,38.5167,-28.7,75.6,83,40,9.22
38,Puerto Leguizamo,CO,2021-10-01 13:30:41,-0.1934,-74.7819,81.43,68,100,1.36
39,Bilma,NE,2021-10-01 13:30:41,18.6853,12.9164,98.76,9,1,5.39
40,Kapaa,US,2021-10-01 13:26:38,22.0752,-159.319,73.38,83,1,5.75
41,Ponta Do Sol,PT,2021-10-01 13:30:42,32.6667,-17.1,78.12,63,3,4.54
42,Salinas,US,2021-10-01 13:29:54,36.6777,-121.6555,61.56,68,1,3.44
43,Clyde River,CA,2021-10-01 13:30:42,70.4692,-68.5914,35.94,81,100,1.63
44,Kavieng,PG,2021-10-01 13:30:43,-2.5744,150.7967,82.72,70,100,8.79
45,Airai,TL,2021-10-01 13:30:43,-8.9266,125.4092,61.32,78,76,1.45
46,Bambous Virieux,MU,2021-10-01 13:30:43,-20.3428,57.7575,74.21,68,40,12.66
47,Punta Arenas,CL,2021-10-01 13:27:55,-53.15,-70.9167,42.82,81,75,23.02
48,Matay,EG,2021-10-01 13:30:44,28.419,30.7792,88.75,25,0,16.53
49,Ca Mau,VN,2021-10-01 13:30:44,9.1769,105.15,78.67,90,85,3.2
50,Parksville,CA,2021-10-01 13:30:44,49.3163,-124.3195,51.44,93,29,3.44
51,Carballo,ES,2021-10-01 13:30:45,43.213,-8.691,66.9,91,100,3.67
52,Qaanaaq,GL,2021-10-01 13:30:45,77.484,-69.3632,30.13,95,100,11.88
53,Ormara,PK,2021-10-01 13:30:46,25.2088,64.6357,82.27,82,100,27.6
54,Lurgan,GB,2021-10-01 13:30:46,54.4608,-6.3294,55.6,72,21,21.23
55,Pisco,PE,2021-10-01 13:30:46,-13.7,-76.2167,64.45,82,40,4.61
56,Yellowknife,CA,2021-10-01 13:30:28,62.456,-114.3525,45.41,100,90,4.61
57,Manzanillo,CU,2021-10-01 13:30:47,20.3433,-77.1167,82.06,70,9,9.8
58,Butaritari,KI,2021-10-01 13:30:47,3.0707,172.7902,80.92,76,100,9.57
59,Barrow,US,2021-10-01 13:26:03,71.2906,-156.7887,28.42,86,90,11.5
60,Tarquinia,IT,2021-10-01 13:30:48,42.2482,11.7553,85.59,66,3,10.31
61,Sur,OM,2021-10-01 13:30:48,22.5667,59.5289,86.25,67,100,4.36
62,Dikson,RU,2021-10-01 13:30:48,73.5069,80.5464,32.05,77,100,19.69
63,Avarua,CK,2021-10-01 13:28:46,-21.2078,-159.775,75.25,83,40,5.75
64,Tuatapere,NZ,2021-10-01 13:30:49,-46.1333,167.6833,49.82,89,100,4.23
65,Sitka,US,2021-10-01 13:30:49,57.0531,-135.33,51.69,76,90,16.11
66,Petropavlovsk-Kamchatskiy,RU,2021-10-01 13:30:49,53.0452,158.6483,48.79,100,90,15.66
